,Address,Coordinates
210,517 BEDOK NTH AVE 2,"('1.33108906602956', '103.929204536012')"
211,95 BEDOK NTH AVE 4,"('1.33386999449984', '103.94205674836')"
212,93 BEDOK NTH AVE 4,"('1.33288899767094', '103.94130973733')"
213,43 CHAI CHEE ST,"('1.32834668503077', '103.925654810377')"
214,404 BEDOK NTH AVE 3,"('1.32937492395032', '103.933926939087')"
215,403 BEDOK NTH AVE 3,"('1.32979984749858', '103.933844368582')"
216,543 BEDOK NTH ST 3,"('1.33033659434823', '103.923223544145')"
217,547 BEDOK NTH ST 3,"('1.33033113628205', '103.925432072872')"
218,708 BEDOK NTH RD,"('1.33503645745879', '103.919311961318')"
219,707 BEDOK NTH RD,"('1.33546649823112', '103.919288377804')"
220,622 BEDOK RESERVOIR RD,"('1.3340607503551', '103.916898741089')"
221,713 BEDOK RESERVOIR RD,"('1.33631180600308', '103.922392167199')"
222,609 BEDOK RESERVOIR RD,"('1.33183921459218', '103.912364855077')"
223,61 CHAI CHEE RD,"('1.32510871928237', '103.920738188884')"
224,56 CHAI CHEE DR,"('1.32635040550492', '103.920064202822')"
225,165 BEDOK STH RD,"('1.32030892324763', '103.946089973664')"
226,505 BEDOK NTH AVE 3,"('1.33182838179324', '103.933338253415')"
227,417 BEDOK NTH AVE 2,"('1.32757551222487', '103.930482353534')"
228,710 BEDOK RESERVOIR RD,"('1.3355737307958', '103.923820023145')"
229,613 BEDOK RESERVOIR RD,"('1.33189327383579', '103.917026960083')"
230,602 BEDOK RESERVOIR RD,"('1.32934898685946', '103.911583237057')"
231,603 BEDOK RESERVOIR RD,"('1.33000183975836', '103.912464022386')"
232,605 BEDOK RESERVOIR RD,"('1.33023693207314', '103.913508109392')"
233,112 BEDOK RESERVOIR RD,"('1.32969408806205', '103.910490219171')"
234,1 CHAI CHEE RD,"('1.32796879176302', '103.922716018139')"
235,722 BEDOK RESERVOIR RD,"('1.33663699329345', '103.928207774481')"
236,54 NEW UPP CHANGI RD,"('1.32486087785589', '103.942554038061')"
237,72 BEDOK STH AVE 3,"('1.32036659168877', '103.943667906986')"
238,31 BEDOK STH AVE 2,"('1.32301474306803', '103.938165236776')"
239,111 BEDOK NTH RD,"('1.33145574028188', '103.935458644142')"
240,120 BEDOK NTH ST 2,"('1.32997311186222', '103.9375717024')"
241,118 BEDOK NTH ST 2,"('1.33043385999052', '103.937481669683')"
242,96 BEDOK NTH AVE 4,"('1.33326478123569', '103.940334868697')"
243,137 BEDOK NTH AVE 3,"('1.32883066193996', '103.935509731277')"
244,139 BEDOK NTH AVE 3,"('1.32941001130625', '103.935397269548')"
245,716 BEDOK RESERVOIR RD,"('1.33783795176833', '103.924973671246')"
246,725 BEDOK RESERVOIR RD,"('1.33764586553964', '103.928990816937')"
247,22 SIN MING RD,"('1.3572844410824', '103.839396679952')"
248,24 SIN MING RD,"('1.35518696986305', '103.836337992513')"
249,309 SHUNFU RD,"('1.35091296258284', '103.837585157698')"
250,304 SHUNFU RD,"('1.35012170474224', '103.837942388222')"
251,308 SHUNFU RD,"('1.35058252902296', '103.837846846026')"
252,310 SHUNFU RD,"('1.35085167873462', '103.838679123356')"
253,160 BT BATOK ST 11,"('1.34888490439686', '103.742035794953')"
254,161 BT BATOK ST 11,"('1.34846915807481', '103.742050806952')"
255,164 BT BATOK ST 11,"('1.34771697477219', '103.742831711054')"
256,177 BT BATOK WEST AVE 8,"('1.3463440745148', '103.741742087315')"
257,130 BT BATOK WEST AVE 6,"('1.35106126001126', '103.745857351625')"
258,127 BT BATOK WEST AVE 6,"('1.35185612872026', '103.746076774467')"
259,205 BT BATOK ST 21,"('1.34712172862216', '103.750057276189')"
260,248 BT BATOK EAST AVE 5,"('1.35025884075015', '103.756604724025')"
261,258 BT BATOK EAST AVE 4,"('1.35127411954665', '103.758871467713')"
262,4 HILLVIEW AVE,
263,6 HILLVIEW AVE,
264,2 HILLVIEW AVE,
265,146 BT BATOK WEST AVE 6,"('1.34966890869827', '103.744083499088')"
266,138 BT BATOK WEST AVE 6,"('1.35044711973729', '103.744471903926')"
267,134 BT BATOK WEST AVE 6,"('1.35159086987043', '103.74450960649')"
268,143 BT BATOK ST 11,"('1.3503764354559', '103.74390902286')"
269,145 BT BATOK ST 11,"('1.34997305498668', '103.743724852615')"
270,182 BT BATOK WEST AVE 8,"('1.34556402157015', '103.743821531821')"
271,180 BT BATOK WEST AVE 8,"('1.34555899395756', '103.742841777336')"
272,228 BT BATOK CTRL,"('1.34865945802076', '103.753794578776')"
273,227 BT BATOK CTRL,"('1.34838399787614', '103.753520312233')"
274,219 BT BATOK ST 21,"('1.34720729813155', '103.754999726682')"
275,244 BT BATOK EAST AVE 5,"('1.34918269764742', '103.757239164878')"
276,116 BT BATOK WEST AVE 6,"('1.34962866206165', '103.746381076556')"
277,113 BT BATOK WEST AVE 6,"('1.34883637963314', '103.745173404083')"
278,163 BT BATOK ST 11,"('1.34814949552612', '103.742658130106')"
279,169 BT BATOK WEST AVE 8,"('1.34660733553492', '103.740909286964')"
280,165 BT BATOK WEST AVE 8,"('1.3473367984506', '103.741924405174')"
281,129 BT BATOK WEST AVE 6,"('1.35142975219106', '103.746030739669')"
282,204 BT BATOK ST 21,"('1.34755865555388', '103.74988715048')"
283,209 BT BATOK ST 21,"('1.34548843030138', '103.748737963222')"
284,135 BT BATOK WEST AVE 6,"('1.35125231918218', '103.744795017835')"
285,184 BT BATOK WEST AVE 8,"('1.34623774673934', '103.743824246873')"
286,225 BT BATOK CTRL,"('1.34849607451431', '103.752607744553')"
287,123 BT BATOK CTRL,"('1.35141970002657', '103.747499423763')"
288,307 BT BATOK ST 31,"('1.35817033436975', '103.748118653062')"
289,216 BT BATOK ST 21,"('1.3471050066434', '103.753638622774')"
290,115 BT BATOK WEST AVE 6,"('1.34918319745272', '103.746566795213')"
291,117 BT BATOK WEST AVE 6,"('1.34996555858187', '103.74714214948')"
292,111 BT BATOK WEST AVE 6,"('1.34840644346954', '103.745994934101')"
293,103 BT BATOK CTRL,"('1.34822368204242', '103.748034526478')"
294,223 BT BATOK EAST AVE 3,"('1.34801554533173', '103.753397257075')"
295,221 BT BATOK EAST AVE 3,"('1.34747562371947', '103.753690953671')"
296,214 BT BATOK ST 21,"('1.34729998285678', '103.75289444646')"
297,120 BT BATOK CTRL,"('1.3510594273469', '103.747712277505')"
298,121 BT BATOK CTRL,"('1.35162557081969', '103.748011382648')"
299,142 BT BATOK ST 11,"('1.35000417984867', '103.742860806106')"
300,140 BT BATOK ST 11,"('1.35076586646897', '103.74385553747')"
301,141 BT BATOK ST 11,"('1.35044171803071', '103.743212010475')"
302,33 TAMAN HO SWEE,
303,7 TELOK BLANGAH CRES,"('1.27836137310785', '103.819384010497')"
304,40 BEO CRES,"('1.2890578915448', '103.827513018252')"
305,44 TELOK BLANGAH DR,"('1.27140883340015', '103.810887524155')"
306,46 TELOK BLANGAH DR,"('1.27169061066277', '103.809852257535')"
307,103 DEPOT RD,"('1.28131574987693', '103.807861854014')"
308,110 DEPOT RD,"('1.28138753916039', '103.809362548941')"
309,42 TELOK BLANGAH RISE,"('1.2709187086214', '103.822685388438')"
310,132 JLN BT MERAH,"('1.27873808127932', '103.828304288385')"
311,133 JLN BT MERAH,"('1.27955093259631', '103.82740093837')"
312,96 HENDERSON RD,"('1.28754332229134', '103.821335072268')"
313,77 INDUS RD,"('1.29113483646901', '103.826764453591')"
314,78 INDUS RD,"('1.29129374515873', '103.827476436671')"
315,128 BT MERAH VIEW,"('1.28264675199072', '103.823327111496')"
316,130 BT MERAH VIEW,"('1.28458712798457', '103.824360319186')"
317,119 BT MERAH VIEW,"('1.28352755166465', '103.820830012818')"
318,114 BT MERAH VIEW,
319,5 TELOK BLANGAH CRES,"('1.27872402905423', '103.819220384802')"
320,105 HENDERSON CRES,"('1.29021420176947', '103.822356844711')"
321,12 TELOK BLANGAH CRES,"('1.27718546024846', '103.819516181006')"
322,8 TELOK BLANGAH CRES,"('1.27779539068994', '103.819341303524')"
323,18 TELOK BLANGAH CRES,"('1.27790984987633', '103.822535848245')"
324,16 TELOK BLANGAH CRES,"('1.27805365232333', '103.821504615515')"
325,13 TELOK BLANGAH CRES,"('1.2781594645971', '103.820475315204')"
326,2 JLN BT MERAH,"('1.2857068951692', '103.808015315825')"
327,1 JLN BT MERAH,"('1.28644157642074', '103.808286977232')"
328,108 JLN BT MERAH,"('1.27922008833835', '103.825441382185')"
329,102 BT PURMEI RD,"('1.27190842334423', '103.826671653892')"
330,106 BT PURMEI RD,"('1.2729893703256', '103.825626826099')"
331,62 TELOK BLANGAH HTS,"('1.2752454314411', '103.811106662751')"
332,63 TELOK BLANGAH HTS,"('1.27483128753685', '103.810941368851')"
333,60 TELOK BLANGAH HTS,"('1.27607895768865', '103.812157206469')"
334,55 TELOK BLANGAH DR,"('1.27396036035569', '103.812149525435')"
335,75 TELOK BLANGAH DR,"('1.27489670852233', '103.808695347879')"
336,141 JLN BT MERAH,"('1.27714559744846', '103.828738908605')"
337,7 EVERTON PK,"('1.27692435153003', '103.838679504443')"
338,3 EVERTON PK,"('1.27721730057752', '103.838703998309')"
339,146 JLN BT MERAH,"('1.27783733331047', '103.830814605787')"
340,18 KG BAHRU HILL,
341,20 REDHILL CL,"('1.28675845516814', '103.817346147649')"
342,13 REDHILL CL,"('1.28542199032975', '103.81694518286')"
343,19 REDHILL CL,"('1.28607626461323', '103.817832701813')"
344,28 JLN BT MERAH,"('1.28640350234512', '103.809741989834')"
345,28 HOY FATT RD,"('1.28675654367639', '103.810121713045')"
346,29 HAVELOCK RD,
347,18 TAMAN HO SWEE,"('1.28809868332674', '103.831032031024')"
348,30 JLN KLINIK,"('1.28766976882827', '103.828202949008')"
349,26 JLN KLINIK,"('1.2881713453856', '103.828454024092')"
350,28 JLN KLINIK,"('1.28789877031281', '103.828203629292')"
351,22 HAVELOCK RD,"('1.28859667248672', '103.829176323486')"
352,37 JLN RUMAH TINGGI,"('1.28922928913172', '103.809193412567')"
353,36 BEO CRES,"('1.28835977080873', '103.827056911096')"
354,6 JLN BT HO SWEE,"('1.28763869859867', '103.831443269057')"
355,41 KIM CHENG ST,"('1.2846906958963', '103.831590918207')"
356,47 MOH GUAN TER,"('1.28420581657007', '103.831063385283')"
357,34 TELOK BLANGAH WAY,"('1.27351780057463', '103.822480988448')"
358,129 KIM TIAN RD,"('1.2811530312289', '103.828856188305')"
359,120 BT MERAH VIEW,"('1.28277443239482', '103.822612454246')"
360,111 BT MERAH VIEW,
361,109 JLN BT MERAH,"('1.27942671435022', '103.826086916123')"
362,104 BT PURMEI RD,"('1.27239853587858', '103.825625504182')"
363,110 BT PURMEI RD,"('1.27380415706758', '103.827057699596')"
364,114 BT PURMEI RD,"('1.27507181850164', '103.825887190072')"
365,113 BT PURMEI RD,"('1.27477012536113', '103.826932267703')"
366,57 TELOK BLANGAH HTS,"('1.27463331496043', '103.812586604999')"
367,54 TELOK BLANGAH DR,"('1.27359718662062', '103.811942133272')"
368,69 TELOK BLANGAH HTS,"('1.27558342805007', '103.810314018607')"
369,51 TELOK BLANGAH DR,"('1.27349303763916', '103.809744638751')"
370,101 HENDERSON CRES,"('1.29071799751539', '103.821625207737')"
371,103 HENDERSON CRES,"('1.28974209684545', '103.821375681569')"
372,140 JLN BT MERAH,"('1.27815614255865', '103.829524327849')"
373,4 EVERTON PK,"('1.27688307363768', '103.840085627903')"
374,7 KIM TIAN PL,"('1.28348511207749', '103.827043785507')"
375,115 BT PURMEI RD,"('1.27535201369639', '103.826950180582')"
376,48 TELOK BLANGAH DR,"('1.27234669758392', '103.810554542558')"
377,73 TELOK BLANGAH HTS,"('1.27573843980494', '103.80918938464')"
378,72 TELOK BLANGAH HTS,"('1.27611797685125', '103.809589962738')"
379,66 TELOK BLANGAH DR,"('1.27413297268021', '103.809632649822')"
380,8 EMPRESS RD,"('1.31641190098174', '103.805373811937')"
381,4 QUEEN'S RD,"('1.31883225284458', '103.808061967625')"
382,6 FARRER RD,"('1.31731971195622', '103.808057179008')"
383,8 JLN KUKOH,"('1.2873776268224', '103.839407060595')"
384,22 OUTRAM PK,
385,12 SHORT ST,
386,13 SHORT ST,
387,8 SELEGIE RD,"('1.30320667141798', '103.850493368737')"
388,538 UPP CROSS ST,"('1.28521219232764', '103.845766165764')"
